"","Date","UID","Treatment","Spp","Shelter","Rep","sRep","Side","gs.max","VPD.kpa.max","SoilM"
"1",2018-06-21,"1c-Fes","Control","Fes",1,14,"A","East",255.1,1.82599034345979,0.115
"2",2018-06-21,"2c-Fes","Control","Fes",2,4,"A","East",514.5,1.455366491735,0.127
"3",2018-06-21,"3c-Fes","Control","Fes",3,15,"A","East",382.1,1.43099432560547,0.118
"4",2018-06-29,"1c-Fes","Control","Fes",1,14,"A","East",298.5,1.21085386384736,0.102
"5",2018-06-29,"2c-Fes","Control","Fes",2,4,"A","East",360.6,1.10648117254065,0.12
"6",2018-06-29,"3c-Fes","Control","Fes",3,15,"A","East",305.9,1.32222274527394,0.116
"7",2018-07-18,"1c-Fes","Control","Fes",1,14,"A","East",341.8,2.06576115348357,0.08
"8",2018-07-18,"2c-Fes","Control","Fes",2,4,"A","East",362.9,1.1150293142309,0.099
"9",2018-07-18,"3c-Fes","Control","Fes",3,15,"A","East",525.4,1.52561078403624,0.101
"10",2018-07-26,"1c-Fes","Control","Fes",1,14,"A","East",350.6,1.72082808541519,0.082
"11",2018-07-26,"2c-Fes","Control","Fes",2,4,"A","East",268.6,1.14965721605222,0.097
"12",2018-07-26,"3c-Fes","Control","Fes",3,15,"A","East",334.1,2.32941441579804,0.117
"13",2018-08-03,"1c-Fes","Control","Fes",1,14,"A","East",462.3,2.25278527951872,0.115
"14",2018-08-03,"2c-Fes","Control","Fes",2,4,"A","East",523.1,1.86969331593707,0.111
"15",2018-08-03,"3c-Fes","Control","Fes",3,15,"A","East",383.4,2.33811320896211,0.119
"16",2018-08-09,"1c-Fes","Control","Fes",1,14,"A","East",513.2,1.57094657995615,0.097
"17",2018-08-09,"2c-Fes","Control","Fes",2,4,"A","East",421.4,1.80261519363786,0.101
"18",2018-08-09,"3c-Fes","Control","Fes",3,15,"A","East",419.2,1.57698591577693,0.112
"19",2018-08-21,"1c-Fes","Control","Fes",1,14,"A","East",392.8,1.82218945486989,0.082
"20",2018-08-21,"2c-Fes","Control","Fes",2,4,"A","East",380.7,1.49606123979142,0.106
"21",2018-08-21,"3c-Fes","Control","Fes",3,15,"A","East",434.2,1.65538392742363,0.117
"22",2018-08-30,"1c-Fes","Control","Fes",1,14,"A","East",311.7,1.33968966647621,0.097
"23",2018-08-30,"2c-Fes","Control","Fes",2,4,"A","East",505.4,1.24868708518295,0.122
"24",2018-08-30,"3c-Fes","Control","Fes",3,15,"A","East",369.2,1.46674837271584,0.12
"25",2018-09-12,"1c-Fes","Control","Fes",1,14,"A","East",305.1,3.36818073217623,0.092
"26",2018-09-12,"2c-Fes","Control","Fes",2,4,"A","East",265.2,2.97432126569396,0.119
"27",2018-09-12,"3c-Fes","Control","Fes",3,15,"A","East",446.5,1.94025430707914,0.115
"28",2018-09-19,"2c-Fes","Control","Fes",2,4,"A","East",457.9,2.90909859826723,0.114
"29",2018-09-19,"3c-Fes","Control","Fes",3,15,"A","East",471,3.43162199188775,0.116
"30",2018-09-26,"2c-Fes","Control","Fes",2,4,"A","East",344.3,0.967988554923735,0.1275
"31",2018-09-26,"3c-Fes","Control","Fes",3,15,"A","East",285.5,1.04039329556085,0.1265
"32",2018-10-16,"2c-Fes","Control","Fes",2,4,"A","East",551.5,1.36161668825963,0.1285
"33",2018-10-16,"3c-Fes","Control","Fes",3,15,"A","East",385.1,1.53859369735727,0.124
"34",2018-10-23,"2c-Fes","Control","Fes",2,4,"A","East",440.4,1.98456525670172,0.113
"35",2018-10-23,"3c-Fes","Control","Fes",3,15,"A","East",372,1.99028861446777,0.11
"36",2018-10-31,"2c-Fes","Control","Fes",2,4,"A","East",262.5,2.1019323974156,0.0945
"37",2018-10-31,"3c-Fes","Control","Fes",3,15,"A","East",209.1,2.28019104551619,0.09
"38",2018-06-21,"1c-Phal","Control","Phal",1,13,"A","East",237,1.50733443804197,0.119
"39",2018-06-21,"2c-Phal","Control","Phal",2,11,"A","East",301.4,1.23925989429145,0.135
"40",2018-06-21,"3c-Phal","Control","Phal",3,2,"A","East",290.9,2.30399227472469,0.129
"41",2018-06-29,"1c-Phal","Control","Phal",1,13,"A","East",400.5,1.30271032422684,0.112
"42",2018-06-29,"2c-Phal","Control","Phal",2,11,"A","East",289.8,1.55874127322111,0.128
"43",2018-06-29,"3c-Phal","Control","Phal",3,2,"A","East",258.6,1.59472686643905,0.124
"44",2018-07-18,"1c-Phal","Control","Phal",1,13,"A","East",432,2.2590028602509,0.09
"45",2018-07-18,"2c-Phal","Control","Phal",2,11,"A","East",272.1,1.46539287474878,0.106
"46",2018-07-18,"3c-Phal","Control","Phal",3,2,"A","East",233.7,2.41252806167651,0.101
"47",2018-07-26,"1c-Phal","Control","Phal",1,13,"A","East",463.9,1.71467455046377,0.0905
"48",2018-07-26,"2c-Phal","Control","Phal",2,11,"A","East",438.9,1.37591593947059,0.095
"49",2018-07-26,"3c-Phal","Control","Phal",3,2,"A","East",195.5,2.0352460549007,0.117
"50",2018-08-03,"1c-Phal","Control","Phal",1,13,"A","East",384.9,2.01348273946856,0.122
"51",2018-08-03,"2c-Phal","Control","Phal",2,11,"A","East",308.2,2.06995164099772,0.096
"52",2018-08-03,"3c-Phal","Control","Phal",3,2,"A","East",247.3,2.22683325090525,0.127
"53",2018-08-09,"1c-Phal","Control","Phal",1,13,"A","East",232.6,2.58380887407509,0.1
"54",2018-08-09,"2c-Phal","Control","Phal",2,11,"A","East",331.7,1.72821031175584,0.081
"55",2018-08-09,"3c-Phal","Control","Phal",3,2,"A","East",437.2,1.47722541170831,0.113
"56",2018-08-21,"1c-Phal","Control","Phal",1,13,"A","East",296.1,1.82421586728919,0.088
"57",2018-08-21,"2c-Phal","Control","Phal",2,11,"A","East",265.9,1.66144227481582,0.067
"58",2018-08-21,"3c-Phal","Control","Phal",3,2,"A","East",237.7,1.55226408807857,0.12
"59",2018-08-30,"1c-Phal","Control","Phal",1,13,"A","East",253.4,1.6015994885122,0.1055
"60",2018-08-30,"2c-Phal","Control","Phal",2,11,"A","East",436.5,1.74101963394056,0.105
"61",2018-08-30,"3c-Phal","Control","Phal",3,2,"A","East",207.8,1.55845810673474,0.137
"62",2018-09-12,"1c-Phal","Control","Phal",1,13,"A","East",226.1,2.68797926863604,0.101
"63",2018-09-12,"2c-Phal","Control","Phal",2,11,"A","East",319.5,2.19799405732236,0.108
"64",2018-09-12,"3c-Phal","Control","Phal",3,2,"A","East",283.3,3.2011054391876,0.135
"65",2018-09-19,"2c-Phal","Control","Phal",2,11,"A","East",331.4,2.44856220404325,0.094
"66",2018-09-19,"3c-Phal","Control","Phal",3,2,"A","East",411.9,1.9797304254912,0.133
"67",2018-09-26,"3c-Phal","Control","Phal",3,2,"A","East",224.1,1.06509892985781,0.144
"68",2018-10-16,"2c-Phal","Control","Phal",2,11,"A","East",145.7,1.82463850284563,0.12
"69",2018-10-16,"3c-Phal","Control","Phal",3,2,"A","East",357.2,1.42117409958316,0.139
"70",2018-10-23,"2c-Phal","Control","Phal",2,11,"A","East",105.2,2.83988493071682,0.107
"71",2018-10-23,"3c-Phal","Control","Phal",3,2,"A","East",364,2.07960077603673,0.125
"72",2018-10-31,"2c-Phal","Control","Phal",2,11,"A","East",359.8,1.95490752839865,0.1
"73",2018-10-31,"3c-Phal","Control","Phal",3,2,"A","East",91.1,2.86557696205335,0.123
"74",2018-06-21,"1c-Rye","Control","Rye",1,6,"A","East",254,1.4572376623898,0.123
"75",2018-06-21,"2c-Rye","Control","Rye",2,1,"A","East",607.3,2.13329272406469,0.127
"76",2018-06-21,"3c-Rye","Control","Rye",3,11,"A","East",464.9,1.47797630177313,0.113
"77",2018-06-29,"1c-Rye","Control","Rye",1,6,"A","East",466.6,1.39874736036221,0.114
"78",2018-06-29,"2c-Rye","Control","Rye",2,1,"A","East",263.5,1.21330275146785,0.124
"79",2018-06-29,"3c-Rye","Control","Rye",3,11,"A","East",422.7,1.7969414842159,0.109
"80",2018-07-18,"1c-Rye","Control","Rye",1,6,"A","East",569,1.3159196014864,0.103
"81",2018-07-18,"2c-Rye","Control","Rye",2,1,"A","East",516.1,1.12014562597631,0.106
"82",2018-07-18,"3c-Rye","Control","Rye",3,11,"A","East",332.3,1.99124223788067,0.084
"83",2018-07-26,"1c-Rye","Control","Rye",1,6,"A","East",421.5,0.815826810066537,0.11
"84",2018-07-26,"2c-Rye","Control","Rye",2,1,"A","East",525.5,0.999797582719169,0.105
"85",2018-07-26,"3c-Rye","Control","Rye",3,11,"A","East",523.3,1.16196053426294,0.103
"86",2018-08-03,"1c-Rye","Control","Rye",1,6,"A","East",263.2,1.59703888273087,0.126
"87",2018-08-03,"2c-Rye","Control","Rye",2,1,"A","East",284.5,1.69974579732694,0.119
"88",2018-08-03,"3c-Rye","Control","Rye",3,11,"A","East",443.2,2.84822086034922,0.113
"89",2018-08-09,"1c-Rye","Control","Rye",1,6,"A","East",273.7,1.51466046686204,0.117
"90",2018-08-09,"2c-Rye","Control","Rye",2,1,"A","East",541,1.61192967379046,0.114
"91",2018-08-09,"3c-Rye","Control","Rye",3,11,"A","East",300.4,1.90568505087152,0.089
"92",2018-08-21,"1c-Rye","Control","Rye",1,6,"A","East",431,1.46059494901882,0.111
"93",2018-08-21,"2c-Rye","Control","Rye",2,1,"A","East",555.4,0.9518895436397,0.108
"94",2018-08-21,"3c-Rye","Control","Rye",3,11,"A","East",372,2.07281641128285,0.085
"95",2018-08-30,"1c-Rye","Control","Rye",1,6,"A","East",364.1,1.28655896801249,0.1215
"96",2018-08-30,"2c-Rye","Control","Rye",2,1,"A","East",404.6,1.92356325972249,0.131
"97",2018-08-30,"3c-Rye","Control","Rye",3,11,"A","East",258.9,1.56790032500415,0.109
"98",2018-09-12,"1c-Rye","Control","Rye",1,6,"A","East",243.1,3.36484263965248,0.122
"99",2018-09-12,"2c-Rye","Control","Rye",2,1,"A","East",328.9,2.58920645467371,0.129
"100",2018-09-12,"3c-Rye","Control","Rye",3,11,"A","East",401.9,2.86016049100666,0.1
"101",2018-09-19,"2c-Rye","Control","Rye",2,1,"A","East",233.6,3.76078945004332,0.116
"102",2018-09-19,"3c-Rye","Control","Rye",3,11,"A","East",484,2.60449751129309,0.102
"103",2018-09-26,"2c-Rye","Control","Rye",2,1,"A","East",543.9,0.878225205219028,0.127
"104",2018-09-26,"2c-Rye","Control","Rye",2,10,"A","East",407.9,0.924972551258632,0.127
"105",2018-09-26,"3c-Rye","Control","Rye",3,11,"A","East",477.8,0.8660950228265,0.124
"106",2018-10-16,"2c-Rye","Control","Rye",2,1,"A","East",580,1.37743285999861,0.131
"107",2018-10-16,"3c-Rye","Control","Rye",3,11,"A","East",611.4,1.36910187278589,0.12
"108",2018-10-23,"2c-Rye","Control","Rye",2,1,"A","East",458.4,1.96779428270142,0.115
"109",2018-10-23,"3c-Rye","Control","Rye",3,11,"A","East",399.9,2.05117776564436,0.103
"110",2018-10-31,"2c-Rye","Control","Rye",2,1,"A","East",408.8,1.85435346893089,0.086
"111",2018-10-31,"3c-Rye","Control","Rye",3,11,"A","East",356.6,1.96007924143674,0.065
"112",2018-06-21,"1l-Fes","Long","Fes",1,6,"A","West",423.9,1.12707679820449,0.089
"113",2018-06-21,"1s-Fes","Short","Fes",2,3,"A","West",449.2,1.68219316782609,0.133
"114",2018-06-21,"1x-Fes","Double","Fes",3,7,"A","West",384.5,1.52343762571858,0.138
"115",2018-06-21,"2l-Fes","Long","Fes",4,4,"A","West",628.3,1.77556953449893,0.085
"116",2018-06-21,"2s-Fes","Short","Fes",4,14,"A","East",492.2,2.11887834221968,0.1155
"117",2018-06-21,"2x-Fes","Double","Fes",5,6,"A","West",685.7,1.18341675618037,0.129
"118",2018-06-21,"3l-Fes","Long","Fes",6,2,"A","East",579.4,0.999190501208821,0.109
"119",2018-06-21,"3s-Fes","Short","Fes",5,5,"A","East",411.8,1.76120678382085,0.109
"120",2018-06-21,"3x-Fes","Double","Fes",6,1,"A","West",588.8,1.15146601222552,0.093
"121",2018-06-29,"1l-Fes","Long","Fes",1,6,"A","West",446.3,1.65657212087221,0.066
"122",2018-06-29,"1s-Fes","Short","Fes",2,3,"A","West",250.5,1.66843350140528,0.105
"123",2018-06-29,"1x-Fes","Double","Fes",3,7,"A","West",411.2,1.53959358043068,0.117
"124",2018-06-29,"2l-Fes","Long","Fes",4,4,"A","West",399.5,1.00600583246807,0.071
"125",2018-06-29,"2s-Fes","Short","Fes",4,14,"A","East",252.6,1.14187984012394,0.118
"126",2018-06-29,"2x-Fes","Double","Fes",5,6,"A","West",265.9,1.34337701426311,0.104
"127",2018-06-29,"3l-Fes","Long","Fes",6,2,"A","East",450.2,1.64870115307643,0.095
"128",2018-06-29,"3s-Fes","Short","Fes",5,5,"A","East",262.2,1.09719895876202,0.095
"129",2018-06-29,"3x-Fes","Double","Fes",6,1,"A","West",435.7,1.48239836029061,0.082
"130",2018-07-18,"1l-Fes","Long","Fes",1,6,"A","West",466.4,1.9235863790585,0.055
"131",2018-07-18,"1s-Fes","Short","Fes",2,3,"A","West",299.9,1.67091249618615,0.07
"132",2018-07-18,"1x-Fes","Double","Fes",3,7,"A","West",448.8,1.09899452476304,0.1
"133",2018-07-18,"2l-Fes","Long","Fes",4,4,"A","West",314.9,1.82119663372288,0.054
"134",2018-07-18,"2s-Fes","Short","Fes",4,14,"A","East",256.9,1.66836266977522,0.069
"135",2018-07-18,"2x-Fes","Double","Fes",5,6,"A","West",323.3,1.89735419163278,0.078
"136",2018-07-18,"3l-Fes","Long","Fes",6,2,"A","East",376.3,1.2868532956779,0.074
"137",2018-07-18,"3s-Fes","Short","Fes",5,5,"A","East",301,1.59264021742314,0.074
"138",2018-07-18,"3x-Fes","Double","Fes",6,1,"A","West",347.4,0.944466057369661,0.064
"139",2018-07-26,"1l-Fes","Long","Fes",1,6,"A","West",393.3,1.20079618100845,0.05
"140",2018-07-26,"1s-Fes","Short","Fes",2,3,"A","West",284.5,1.49089528620544,0.059
"141",2018-07-26,"1x-Fes","Double","Fes",3,7,"A","West",410.1,2.30201039329453,0.093
"142",2018-07-26,"2l-Fes","Long","Fes",4,4,"A","West",334.4,0.937929236675917,0.048
"143",2018-07-26,"2s-Fes","Short","Fes",4,14,"A","East",308.3,1.38196393399428,0.055
"144",2018-07-26,"2x-Fes","Double","Fes",5,6,"A","West",283.2,1.93572151794451,0.069
"145",2018-07-26,"3l-Fes","Long","Fes",6,2,"A","East",322.6,2.07746673891398,0.066
"146",2018-07-26,"3s-Fes","Short","Fes",5,5,"A","East",301.9,1.30774254274068,0.066
"147",2018-07-26,"3x-Fes","Double","Fes",6,1,"A","West",380.9,1.62160459734526,0.054
"148",2018-08-03,"1l-Fes","Long","Fes",1,6,"A","West",445.7,1.41423956897466,0.047
"149",2018-08-03,"1s-Fes","Short","Fes",2,3,"A","West",259.9,2.50116069582377,0.051
"150",2018-08-03,"1x-Fes","Double","Fes",3,7,"A","West",232.2,1.57083493575521,0.087
"151",2018-08-03,"2l-Fes","Long","Fes",4,4,"A","West",237.3,2.36892125741937,0.045
"152",2018-08-03,"2s-Fes","Short","Fes",4,14,"A","East",281.5,1.4520303160003,0.05
"153",2018-08-03,"2x-Fes","Double","Fes",5,6,"A","West",316.5,2.43089464921217,0.063
"154",2018-08-03,"3l-Fes","Long","Fes",6,2,"A","East",336.8,2.64882648719806,0.06
"155",2018-08-03,"3s-Fes","Short","Fes",5,5,"A","East",228.2,2.44490355042893,0.06
"156",2018-08-03,"3x-Fes","Double","Fes",6,1,"A","West",249.5,1.99913683895338,0.049
"157",2018-08-09,"1l-Fes","Long","Fes",1,6,"A","West",500.5,1.37180477929089,0.043
"158",2018-08-09,"1s-Fes","Short","Fes",2,3,"A","West",323.8,1.8535700110522,0.045
"159",2018-08-09,"1x-Fes","Double","Fes",3,7,"A","West",350.7,2.01527237627726,0.08
"160",2018-08-09,"2l-Fes","Long","Fes",4,4,"A","West",311.3,2.0780156004047,0.041
"161",2018-08-09,"2s-Fes","Short","Fes",4,14,"A","East",306.4,2.07332038585973,0.045
"162",2018-08-09,"2x-Fes","Double","Fes",5,6,"A","West",238.7,2.03049935322353,0.058
"163",2018-08-09,"3l-Fes","Long","Fes",6,2,"A","East",279.6,1.48070961180236,0.055
"164",2018-08-09,"3s-Fes","Short","Fes",5,5,"A","East",277.2,2.60349267496728,0.055
"165",2018-08-09,"3x-Fes","Double","Fes",6,1,"A","West",294.4,2.6533122791913,0.044
"166",2018-08-21,"1l-Fes","Long","Fes",1,6,"A","West",288.2,1.65489102168609,0.039
"167",2018-08-21,"1s-Fes","Short","Fes",2,3,"A","West",181.1,1.58330872885676,0.037
"168",2018-08-21,"1x-Fes","Double","Fes",3,7,"A","West",329.8,1.02863946688637,0.069
"169",2018-08-21,"2l-Fes","Long","Fes",4,4,"A","West",191.6,1.54562888560003,0.036
"170",2018-08-21,"2s-Fes","Short","Fes",4,14,"A","East",241.5,2.00950733381038,0.039
"171",2018-08-21,"2x-Fes","Double","Fes",5,6,"A","West",214.7,1.42789842057404,0.05
"172",2018-08-21,"3l-Fes","Long","Fes",6,2,"A","East",265,1.28720535640365,0.048
"173",2018-08-21,"3s-Fes","Short","Fes",5,5,"A","East",197.6,0.956154993723246,0.048
"174",2018-08-21,"3x-Fes","Double","Fes",6,1,"A","West",252.6,1.89932289912234,0.036
"175",2018-08-30,"1l-Fes","Long","Fes",1,6,"A","West",149.5,1.33644478499679,0.028
"176",2018-08-30,"1s-Fes","Short","Fes",2,3,"A","West",203.2,1.28482091981687,0.035
"177",2018-08-30,"1x-Fes","Double","Fes",3,7,"A","West",173.2,2.02240456723162,0.0645
"178",2018-08-30,"2l-Fes","Long","Fes",4,4,"A","West",198,1.79948640095287,0.034
"179",2018-08-30,"2s-Fes","Short","Fes",4,14,"A","East",152.3,1.63457695553902,0.038
"180",2018-08-30,"2x-Fes","Double","Fes",5,6,"A","West",183.4,1.46442050452081,0.048
"181",2018-08-30,"3l-Fes","Long","Fes",6,2,"A","East",143,1.7935903866528,0.046
"182",2018-08-30,"3s-Fes","Short","Fes",5,5,"A","East",197,1.39417463448923,0.046
"183",2018-08-30,"3x-Fes","Double","Fes",6,1,"A","West",188.6,1.34777380042625,0.034
"184",2018-09-12,"1l-Fes","Long","Fes",1,6,"A","West",91.5,2.10520629752937,0.024
"185",2018-09-12,"1s-Fes","Short","Fes",2,3,"A","West",172.6,2.72195999295066,0.088
"186",2018-09-12,"1x-Fes","Double","Fes",3,7,"A","West",156.5,2.99653545361639,0.109
"187",2018-09-12,"2l-Fes","Long","Fes",4,4,"A","West",91.1,3.45207875487963,0.032
"188",2018-09-12,"2s-Fes","Short","Fes",4,14,"A","East",153.1,2.39265895737559,0.063
"189",2018-09-12,"2x-Fes","Double","Fes",5,6,"A","West",147.3,2.27536855463743,0.113
"190",2018-09-12,"3l-Fes","Long","Fes",6,2,"A","East",148.6,2.66446236825197,0.045
"191",2018-09-12,"3s-Fes","Short","Fes",5,5,"A","East",140.7,3.12499148872186,0.045
"192",2018-09-12,"3x-Fes","Double","Fes",6,1,"A","West",197.7,2.3621007732145,0.075
"193",2018-09-19,"1l-Fes","Long","Fes",1,6,"A","West",106.5,3.42478013932695,0.022
"194",2018-09-19,"1s-Fes","Short","Fes",2,3,"A","West",291.4,1.80011526428051,0.099
"195",2018-09-19,"1x-Fes","Double","Fes",3,7,"A","West",269.2,3.36405707907687,0.086
"196",2018-09-19,"2l-Fes","Long","Fes",4,4,"A","West",109.4,2.58874900809751,0.029
"197",2018-09-19,"2s-Fes","Short","Fes",4,14,"A","East",252.5,2.07230600242661,0.059
"198",2018-09-19,"2x-Fes","Double","Fes",5,6,"A","West",247.6,2.42620090537618,0.1145
"199",2018-09-19,"3l-Fes","Long","Fes",6,2,"A","East",76.3,3.74708884687426,0.041
"200",2018-09-19,"3s-Fes","Short","Fes",5,5,"A","East",265.4,2.03076254313981,0.041
"201",2018-09-19,"3x-Fes","Double","Fes",6,1,"A","West",324.6,2.40037555426196,0.0565
"202",2018-09-26,"1l-Fes","Long","Fes",1,6,"A","West",106.7,1.40500051898489,0.021
"203",2018-09-26,"1x-Fes","Double","Fes",3,7,"A","West",270.4,1.05274951047249,0.07
"204",2018-09-26,"2l-Fes","Long","Fes",4,4,"A","West",111.2,1.4859394729196,0.026
"205",2018-09-26,"2x-Fes","Double","Fes",5,6,"A","West",153.6,1.24820611756995,-0.005
"206",2018-09-26,"3l-Fes","Long","Fes",6,2,"A","East",90.9,1.50935919627047,0.038
"207",2018-09-26,"3x-Fes","Double","Fes",6,1,"A","West",257.3,1.1212179584202,0.043
"208",2018-10-03,"1l-Fes","Long","Fes",1,6,"A","West",252.3,1.31035903416096,0.022
"209",2018-10-03,"2l-Fes","Long","Fes",4,4,"A","West",255.9,1.20498627537723,0.026
"210",2018-10-03,"3l-Fes","Long","Fes",6,2,"A","East",44.5,1.85215257115454,0.037
"211",2018-10-16,"1l-Fes","Long","Fes",1,6,"A","West",68.7,2.17019977640744,0.022
"212",2018-10-16,"1x-Fes","Double","Fes",3,7,"A","West",104.8,2.1679537903093,0.055
"213",2018-10-16,"2l-Fes","Long","Fes",4,4,"A","West",61.9,2.60606039784317,0.025
"214",2018-10-16,"2x-Fes","Double","Fes",5,6,"A","West",66.7,2.56677305516211,-0.001
"215",2018-10-16,"3l-Fes","Long","Fes",6,2,"A","East",46.6,2.73907412779323,0.043
"216",2018-10-16,"3x-Fes","Double","Fes",6,1,"A","West",226.9,1.88913174990668,0.04
"217",2018-10-23,"1l-Fes","Long","Fes",1,6,"A","West",109,2.54281921416202,0.053
"218",2018-10-23,"1x-Fes","Double","Fes",3,7,"A","West",88.2,2.93075466306244,0.054
"219",2018-10-23,"2l-Fes","Long","Fes",4,4,"A","West",171.1,2.51005577537767,0.049
"220",2018-10-23,"2x-Fes","Double","Fes",5,6,"A","West",153.3,2.65812553671017,-0.001
"221",2018-10-23,"3l-Fes","Long","Fes",6,2,"A","East",224.4,2.48273037998057,0.104
"222",2018-10-23,"3x-Fes","Double","Fes",6,1,"A","West",207.3,2.51242811179852,0.04
"223",2018-10-31,"1l-Fes","Long","Fes",1,6,"A","West",151.9,2.0988348917198,0.035
"224",2018-10-31,"1x-Fes","Double","Fes",3,7,"A","West",135.9,2.56782982419369,0.132
"225",2018-10-31,"2l-Fes","Long","Fes",4,4,"A","West",272.5,2.18863686657163,0.047
