Shelter,Side,Rep,PotType,sRep,Species,Mix.South,Clockwise1,Clockwise2,Treatment,TreatRep,Type,Count,UIDx,UID,Spp2
1,East,1,Phal,A,Phal,NA,NA,NA,Control,A,Short,1,1c,1c-Phal,PhalPhal
1,East,2,Phal,A,Phal,NA,NA,NA,Control,A,Short,2,1c,1c-Phal,PhalPhal
1,East,3,Rye,A,Rye,NA,NA,NA,Control,A,Short,3,1c,1c-Rye,RyeRye
1,East,4,Rye,A,Rye,NA,NA,NA,Control,A,Short,4,1c,1c-Rye,RyeRye
1,East,5,Mix,A,Phal,Phal,Fes,Rye,Control,A,Short,5,1c,1c-Phal,MixPhal
1,East,5,Mix,B,Fes,Phal,Fes,Rye,Control,A,Short,6,1c,1c-Fes,MixFes
1,East,5,Mix,C,Rye,Phal,Fes,Rye,Control,A,Short,7,1c,1c-Rye,MixRye
1,East,6,Rye,A,Rye,NA,NA,NA,Control,A,Short,8,1c,1c-Rye,RyeRye
1,East,7,Fes,A,Fes,NA,NA,NA,Control,A,Short,9,1c,1c-Fes,FesFes
1,East,8,Fes,A,Fes,NA,NA,NA,Control,A,Short,10,1c,1c-Fes,FesFes
1,East,9,Rye,A,Rye,NA,NA,NA,Control,A,Short,11,1c,1c-Rye,RyeRye
1,East,10,Mix,A,Phal,Phal,Rye,Fes,Control,A,Short,12,1c,1c-Phal,MixPhal
1,East,10,Mix,B,Rye,Phal,Rye,Fes,Control,A,Short,13,1c,1c-Rye,MixRye
1,East,10,Mix,C,Fes,Phal,Rye,Fes,Control,A,Short,14,1c,1c-Fes,MixFes
1,East,11,Phal,A,Phal,NA,NA,NA,Control,A,Short,15,1c,1c-Phal,PhalPhal
1,East,12,Mix,A,Fes,Fes,Rye,Phal,Control,A,Short,16,1c,1c-Fes,MixFes
1,East,12,Mix,B,Rye,Fes,Rye,Phal,Control,A,Short,17,1c,1c-Rye,MixRye
1,East,12,Mix,C,Phal,Fes,Rye,Phal,Control,A,Short,18,1c,1c-Phal,MixPhal
1,East,13,Phal,A,Phal,NA,NA,NA,Control,A,Short,19,1c,1c-Phal,PhalPhal
1,East,14,Fes,A,Fes,NA,NA,NA,Control,A,Short,20,1c,1c-Fes,FesFes
1,East,15,Fes,A,Fes,NA,NA,NA,Control,A,Short,21,1c,1c-Fes,FesFes
1,East,16,Mix,A,Fes,Fes,Rye,Phal,Control,A,Short,22,1c,1c-Fes,MixFes
1,East,16,Mix,B,Rye,Fes,Rye,Phal,Control,A,Short,23,1c,1c-Rye,MixRye
1,East,16,Mix,C,Phal,Fes,Rye,Phal,Control,A,Short,24,1c,1c-Phal,MixPhal
1,West,1,Phal,A,Phal,NA,NA,NA,Long,A,Long,25,1l,1l-Phal,PhalPhal
1,West,2,Mix,A,Rye,Rye,Phal,Fes,Long,A,Long,26,1l,1l-Rye,MixRye
1,West,2,Mix,B,Phal,Rye,Phal,Fes,Long,A,Long,27,1l,1l-Phal,MixPhal
1,West,2,Mix,C,Fes,Rye,Phal,Fes,Long,A,Long,28,1l,1l-Fes,MixFes
1,West,3,Phal,A,Phal,NA,NA,NA,Long,A,Long,29,1l,1l-Phal,PhalPhal
1,West,4,Rye,A,Rye,NA,NA,NA,Long,A,Long,30,1l,1l-Rye,RyeRye
1,West,5,Phal,A,Phal,NA,NA,NA,Long,A,Long,31,1l,1l-Phal,PhalPhal
1,West,6,Fes,A,Fes,NA,NA,NA,Long,A,Long,32,1l,1l-Fes,FesFes
1,West,7,Mix,A,Fes,Fes,Phal,Rye,Long,A,Long,33,1l,1l-Fes,MixFes
1,West,7,Mix,B,Phal,Fes,Phal,Rye,Long,A,Long,34,1l,1l-Phal,MixPhal
1,West,7,Mix,C,Rye,Fes,Phal,Rye,Long,A,Long,35,1l,1l-Rye,MixRye
1,West,8,Rye,A,Rye,NA,NA,NA,Long,A,Long,36,1l,1l-Rye,RyeRye
1,West,9,Rye,A,Rye,NA,NA,NA,Long,A,Long,37,1l,1l-Rye,RyeRye
1,West,10,Fes,A,Fes,NA,NA,NA,Long,A,Long,38,1l,1l-Fes,FesFes
1,West,11,Mix,A,Fes,Fes,Rye,Phal,Long,A,Long,39,1l,1l-Fes,MixFes
1,West,11,Mix,B,Rye,Fes,Rye,Phal,Long,A,Long,40,1l,1l-Rye,MixRye
1,West,11,Mix,C,Phal,Fes,Rye,Phal,Long,A,Long,41,1l,1l-Phal,MixPhal
1,West,12,Fes,A,Fes,NA,NA,NA,Long,A,Long,42,1l,1l-Fes,FesFes
1,West,13,Rye,A,Rye,NA,NA,NA,Long,A,Long,43,1l,1l-Rye,RyeRye
1,West,14,Mix,A,Phal,Phal,Rye,Fes,Long,A,Long,44,1l,1l-Phal,MixPhal
1,West,14,Mix,B,Rye,Phal,Rye,Fes,Long,A,Long,45,1l,1l-Rye,MixRye
1,West,14,Mix,C,Fes,Phal,Rye,Fes,Long,A,Long,46,1l,1l-Fes,MixFes
1,West,15,Phal,A,Phal,NA,NA,NA,Long,A,Long,47,1l,1l-Phal,PhalPhal
1,West,16,Fes,A,Fes,NA,NA,NA,Long,A,Long,48,1l,1l-Fes,FesFes
2,East,1,Rye,A,Rye,NA,NA,NA,Control,B,Long,49,2c,2c-Rye,RyeRye
2,East,2,Fes,A,Fes,NA,NA,NA,Control,B,Long,50,2c,2c-Fes,FesFes
2,East,3,Mix,A,Fes,Fes,Rye,Phal,Control,B,Long,51,2c,2c-Fes,MixFes
2,East,3,Mix,B,Rye,Fes,Rye,Phal,Control,B,Long,52,2c,2c-Rye,MixRye
2,East,3,Mix,C,Phal,Fes,Rye,Phal,Control,B,Long,53,2c,2c-Phal,MixPhal
2,East,4,Fes,A,Fes,NA,NA,NA,Control,B,Long,54,2c,2c-Fes,FesFes
2,East,5,Fes,A,Fes,NA,NA,NA,Control,B,Long,55,2c,2c-Fes,FesFes
2,East,6,Fes,A,Fes,NA,NA,NA,Control,B,Long,56,2c,2c-Fes,FesFes
2,East,7,Rye,A,Rye,NA,NA,NA,Control,B,Long,57,2c,2c-Rye,RyeRye
2,East,8,Mix,A,Phal,Phal,Rye,Fes,Control,B,Long,58,2c,2c-Phal,MixPhal
2,East,8,Mix,B,Rye,Phal,Rye,Fes,Control,B,Long,59,2c,2c-Rye,MixRye
2,East,8,Mix,C,Fes,Phal,Rye,Fes,Control,B,Long,60,2c,2c-Fes,MixFes
2,East,9,Mix,A,Fes,Fes,Rye,Phal,Control,B,Long,61,2c,2c-Fes,MixFes
2,East,9,Mix,B,Rye,Fes,Rye,Phal,Control,B,Long,62,2c,2c-Rye,MixRye
2,East,9,Mix,C,Phal,Fes,Rye,Phal,Control,B,Long,63,2c,2c-Phal,MixPhal
2,East,10,Rye,A,Rye,NA,NA,NA,Control,B,Long,64,2c,2c-Rye,RyeRye
2,East,11,Phal,A,Phal,NA,NA,NA,Control,B,Long,65,2c,2c-Phal,PhalPhal
2,East,12,Phal,A,Phal,NA,NA,NA,Control,B,Long,66,2c,2c-Phal,PhalPhal
2,East,13,Phal,A,Phal,NA,NA,NA,Control,B,Long,67,2c,2c-Phal,PhalPhal
2,East,14,Mix,A,Phal,Phal,Rye,Fes,Control,B,Long,68,2c,2c-Phal,MixPhal
2,East,14,Mix,B,Rye,Phal,Rye,Fes,Control,B,Long,69,2c,2c-Rye,MixRye
2,East,14,Mix,C,Fes,Phal,Rye,Fes,Control,B,Long,70,2c,2c-Fes,MixFes
2,East,15,Rye,A,Rye,NA,NA,NA,Control,B,Long,71,2c,2c-Rye,RyeRye
2,East,16,Phal,A,Phal,NA,NA,NA,Control,B,Long,72,2c,2c-Phal,PhalPhal
2,West,1,Phal,A,Phal,NA,NA,NA,Short,A,Short,73,1s,1s-Phal,PhalPhal
2,West,2,Fes,A,Fes,NA,NA,NA,Short,A,Short,74,1s,1s-Fes,FesFes
2,West,3,Fes,A,Fes,NA,NA,NA,Short,A,Short,75,1s,1s-Fes,FesFes
2,West,4,Mix,A,Phal,Phal,Rye,Fes,Short,A,Short,76,1s,1s-Phal,MixPhal
2,West,4,Mix,B,Rye,Phal,Rye,Fes,Short,A,Short,77,1s,1s-Rye,MixRye
2,West,4,Mix,C,Fes,Phal,Rye,Fes,Short,A,Short,78,1s,1s-Fes,MixFes
2,West,5,Phal,A,Phal,NA,NA,NA,Short,A,Short,79,1s,1s-Phal,PhalPhal
2,West,6,Mix,A,Fes,Fes,Rye,Phal,Short,A,Short,80,1s,1s-Fes,MixFes
2,West,6,Mix,B,Rye,Fes,Rye,Phal,Short,A,Short,81,1s,1s-Rye,MixRye
2,West,6,Mix,C,Phal,Fes,Rye,Phal,Short,A,Short,82,1s,1s-Phal,MixPhal
2,West,7,Phal,A,Phal,NA,NA,NA,Short,A,Short,83,1s,1s-Phal,PhalPhal
2,West,8,Fes,A,Fes,NA,NA,NA,Short,A,Short,84,1s,1s-Fes,FesFes
2,West,9,Rye,A,Rye,NA,NA,NA,Short,A,Short,85,1s,1s-Rye,RyeRye
2,West,10,Rye,A,Rye,NA,NA,NA,Short,A,Short,86,1s,1s-Rye,RyeRye
2,West,11,Mix,A,Fes,Fes,Phal,Rye,Short,A,Short,87,1s,1s-Fes,MixFes
2,West,11,Mix,B,Phal,Fes,Phal,Rye,Short,A,Short,88,1s,1s-Phal,MixPhal
2,West,11,Mix,C,Rye,Fes,Phal,Rye,Short,A,Short,89,1s,1s-Rye,MixRye
2,West,12,Rye,A,Rye,NA,NA,NA,Short,A,Short,90,1s,1s-Rye,RyeRye
2,West,13,Phal,A,Phal,NA,NA,NA,Short,A,Short,91,1s,1s-Phal,PhalPhal
2,West,14,Phal,A,Phal,NA,NA,NA,Short,A,Short,92,1s,1s-Phal,PhalPhal
2,West,15,Rye,A,Rye,NA,NA,NA,Short,A,Short,93,1s,1s-Rye,RyeRye
2,West,16,Mix,A,Rye,Rye,Fes,Phal,Short,A,Short,94,1s,1s-Rye,MixRye
2,West,16,Mix,B,Fes,Rye,Fes,Phal,Short,A,Short,95,1s,1s-Fes,MixFes
2,West,16,Mix,C,Phal,Rye,Fes,Phal,Short,A,Short,96,1s,1s-Phal,MixPhal
3,East,1,Phal,A,Phal,NA,NA,NA,Control,C,Double,97,3c,3c-Phal,PhalPhal
3,East,2,Phal,A,Phal,NA,NA,NA,Control,C,Double,98,3c,3c-Phal,PhalPhal
3,East,3,Mix,A,Fes,Fes,Rye,Phal,Control,C,Double,99,3c,3c-Fes,MixFes
3,East,3,Mix,B,Rye,Fes,Rye,Phal,Control,C,Double,100,3c,3c-Rye,MixRye
3,East,3,Mix,C,Phal,Fes,Rye,Phal,Control,C,Double,101,3c,3c-Phal,MixPhal
3,East,4,Rye,A,Rye,NA,NA,NA,Control,C,Double,102,3c,3c-Rye,RyeRye
3,East,5,Mix,A,Fes,Fes,Rye,Phal,Control,C,Double,103,3c,3c-Fes,MixFes
3,East,5,Mix,B,Rye,Fes,Rye,Phal,Control,C,Double,104,3c,3c-Rye,MixRye
3,East,5,Mix,C,Phal,Fes,Rye,Phal,Control,C,Double,105,3c,3c-Phal,MixPhal
3,East,6,Fes,A,Fes,NA,NA,NA,Control,C,Double,106,3c,3c-Fes,FesFes
3,East,7,Mix,A,Fes,Fes,Rye,Phal,Control,C,Double,107,3c,3c-Fes,MixFes
3,East,7,Mix,B,Rye,Fes,Rye,Phal,Control,C,Double,108,3c,3c-Rye,MixRye
3,East,7,Mix,C,Phal,Fes,Rye,Phal,Control,C,Double,109,3c,3c-Phal,MixPhal
3,East,8,Rye,A,Rye,NA,NA,NA,Control,C,Double,110,3c,3c-Rye,RyeRye
3,East,9,Mix,A,Fes,Fes,Rye,Phal,Control,C,Double,111,3c,3c-Fes,MixFes
3,East,9,Mix,B,Rye,Fes,Rye,Phal,Control,C,Double,112,3c,3c-Rye,MixRye
3,East,9,Mix,C,Phal,Fes,Rye,Phal,Control,C,Double,113,3c,3c-Phal,MixPhal
3,East,10,Fes,A,Fes,NA,NA,NA,Control,C,Double,114,3c,3c-Fes,FesFes
3,East,11,Rye,A,Rye,NA,NA,NA,Control,C,Double,115,3c,3c-Rye,RyeRye
3,East,12,Rye,A,Rye,NA,NA,NA,Control,C,Double,116,3c,3c-Rye,RyeRye
3,East,13,Phal,A,Phal,NA,NA,NA,Control,C,Double,117,3c,3c-Phal,PhalPhal
3,East,14,Fes,A,Fes,NA,NA,NA,Control,C,Double,118,3c,3c-Fes,FesFes
3,East,15,Fes,A,Fes,NA,NA,NA,Control,C,Double,119,3c,3c-Fes,FesFes
3,East,16,Phal,A,Phal,NA,NA,NA,Control,C,Double,120,3c,3c-Phal,PhalPhal
3,West,1,Mix,A,Fes,Fes,Phal,Rye,Double,A,Double,121,1x,1x-Fes,MixFes
3,West,1,Mix,B,Phal,Fes,Phal,Rye,Double,A,Double,122,1x,1x-Phal,MixPhal
3,West,1,Mix,C,Rye,Fes,Phal,Rye,Double,A,Double,123,1x,1x-Rye,MixRye
3,West,2,Phal,A,Phal,NA,NA,NA,Double,A,Double,124,1x,1x-Phal,PhalPhal
3,West,3,Fes,A,Fes,NA,NA,NA,Double,A,Double,125,1x,1x-Fes,FesFes
3,West,4,Rye,A,Rye,NA,NA,NA,Double,A,Double,126,1x,1x-Rye,RyeRye
3,West,5,Phal,A,Phal,NA,NA,NA,Double,A,Double,127,1x,1x-Phal,PhalPhal
3,West,6,Mix,A,Fes,Fes,Phal,Rye,Double,A,Double,128,1x,1x-Fes,MixFes
3,West,6,Mix,B,Phal,Fes,Phal,Rye,Double,A,Double,129,1x,1x-Phal,MixPhal
3,West,6,Mix,C,Rye,Fes,Phal,Rye,Double,A,Double,130,1x,1x-Rye,MixRye
3,West,7,Fes,A,Fes,NA,NA,NA,Double,A,Double,131,1x,1x-Fes,FesFes
3,West,8,Rye,A,Rye,NA,NA,NA,Double,A,Double,132,1x,1x-Rye,RyeRye
3,West,9,Fes,A,Fes,NA,NA,NA,Double,A,Double,133,1x,1x-Fes,FesFes
3,West,10,Mix,A,Fes,Fes,Rye,Phal,Double,A,Double,134,1x,1x-Fes,MixFes
3,West,10,Mix,B,Rye,Fes,Rye,Phal,Double,A,Double,135,1x,1x-Rye,MixRye
3,West,10,Mix,C,Phal,Fes,Rye,Phal,Double,A,Double,136,1x,1x-Phal,MixPhal
3,West,11,Phal,A,Phal,NA,NA,NA,Double,A,Double,137,1x,1x-Phal,PhalPhal
3,West,12,Rye,A,Rye,NA,NA,NA,Double,A,Double,138,1x,1x-Rye,RyeRye
3,West,13,Phal,A,Phal,NA,NA,NA,Double,A,Double,139,1x,1x-Phal,PhalPhal
3,West,14,Rye,A,Rye,NA,NA,NA,Double,A,Double,140,1x,1x-Rye,RyeRye
3,West,15,Fes,A,Fes,NA,NA,NA,Double,A,Double,141,1x,1x-Fes,FesFes
3,West,16,Mix,A,Fes,Fes,Phal,Rye,Double,A,Double,142,1x,1x-Fes,MixFes
